address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Matadera  ,0.0,0.0,0.0,sale,2020-12-16 12:00:14+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,2723.0,freehold,False,land,644400.0
Siribana 41 A,2.5,3.0,120.0,sale,2020-12-16 12:00:14+00:00,Santa Cruz,Cashero,0.0,freehold,True,condominium,707050.0
Dr. Horacio Oduber Boulevard 2,2.5,2.0,145.0,sale,2020-12-16 12:00:14+00:00,Oranjestad West,Eagle/Paardenbaai,0.0,freehold,True,condominium,689150.0
Siribana 41 A,2.0,2.0,114.0,sale,2020-12-16 12:00:14+00:00,Santa Cruz,Cashero,0.0,,True,apartment,572800.0
Tanki Leendert 112 A,0.0,0.0,0.0,sale,2020-12-16 12:00:14+00:00,Noord/Tanki Leendert,Tanki Leendert,1118.0,,False,,276546.05
Boroncana 3 B,4.0,5.0,365.0,sale,2020-12-16 12:00:13+00:00,Noord/Tanki Leendert,Alto Vista,759.0,,False,house,855620.0
Washington 41 N,2.0,3.0,150.0,sale,2020-12-16 12:00:13+00:00,Noord/Tanki Leendert,Washington,490.0,,True,house,868128.52
J.E. Irausquin Boulevard 91,1.0,0.0,0.0,sale,2020-12-16 12:00:13+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,748198.52
Rooi Santo ,2.0,2.0,0.0,sale,2020-12-16 12:00:13+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,622562.0
Siribana 41 A,0.0,0.0,80.0,sale,2020-12-16 12:00:12+00:00,Santa Cruz,Cashero,0.0,,True,condominium,572800.0
Diamante ,3.0,3.0,16.0,sale,2020-12-16 12:00:12+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,36.0,freehold,True,house,1127678.52
Diamante ,2.0,3.0,167.0,sale,2020-12-16 12:00:12+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,984321.0
Flacciusstraat 15,0.0,0.0,0.0,sale,2020-12-16 12:00:11+00:00,Oranjestad West,Paradijswijk/Santa Helena,756.0,freehold,False,land,175983.85
Diamante ,2.0,2.0,104.0,sale,2020-12-16 12:00:11+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,505675.0
Santa Cruz 63,0.0,0.0,0.0,sale,2020-12-16 12:00:11+00:00,Santa Cruz,Papilon,19778.0,,False,,1093899.43
Ponton 26,0.0,0.0,0.0,sale,2020-12-16 12:00:11+00:00,Oranjestad West,Ponton,3450.0,freehold,False,land,336883.37
Diamante 84,3.0,2.0,89.0,sale,2020-12-16 12:00:11+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,517310.0
Noord 44 Z,2.0,2.0,85.0,sale,2020-12-16 12:00:11+00:00,Noord/Tanki Leendert,Washington,0.0,,True,condominium,563850.0
Noord 44 Z,1.0,1.0,60.0,sale,2020-12-16 12:00:10+00:00,Noord/Tanki Leendert,Washington,0.0,,False,condominium,465400.0
Noord ,2.0,2.0,0.0,sale,2020-12-16 12:00:10+00:00,Noord/Tanki Leendert,Washington,0.0,freehold,True,condominium,1038200.0
Sero Biento 28 E,0.0,0.0,0.0,sale,2020-12-16 12:00:10+00:00,Santa Cruz,Hooiberg,23010.0,,False,,2198230.98
Rumbastraat 11,0.0,0.0,0.0,sale,2020-12-16 12:00:10+00:00,Oranjestad Oost,Klip/Mon Plaisir,19586.0,,False,,6033708.73
Caya di Biento ,4.0,4.0,400.0,sale,2020-12-16 12:00:10+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,711.0,,True,house,2147978.52
Pos Abou ,0.0,0.0,8488.0,sale,2020-12-16 12:00:09+00:00,Oranjestad West,Pos Abou/Cunucu Abou,8488.0,freehold,False,land,1610978.52
Kamerlingh Onnesstraat 44 B,25.0,0.0,1216.0,sale,2020-12-16 12:00:09+00:00,Oranjestad West,Companashi/Solito,0.0,,True,commercial,2772688.52
Sero Compa ,0.0,0.0,34000.0,sale,2020-12-16 12:00:09+00:00,Santa Cruz,Urataca,36787.0,freehold,False,land,1507158.52
Diamante 162,4.0,4.0,0.0,sale,2020-12-16 12:00:09+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,house,1163498.21
Cumana ,0.0,0.0,0.0,sale,2020-12-16 12:00:06+00:00,Oranjestad Oost,Sero Blanco/Cumana,2964.0,freehold,False,land,814450.0
Tanki Leendert 35 b,0.0,0.0,0.0,sale,2020-12-16 12:00:05+00:00,Noord/Tanki Leendert,Tanki Leendert,493.0,,False,,121464.03
Noord ,0.0,0.0,0.0,sale,2020-12-16 12:00:05+00:00,Noord/Tanki Leendert,Washington,10780.0,freehold,False,land,1300868.18
Bubali 86 T,25.0,25.0,968.0,sale,2020-12-16 12:00:05+00:00,Noord/Tanki Leendert,Washington,1992.0,leasehold,False,apartment,3132500.0
Tanki Leendert 101 E,0.0,0.0,0.0,sale,2020-12-16 12:00:05+00:00,Noord/Tanki Leendert,Tanki Leendert,499.0,,False,,125452.15000000001
Balashi 7 D,8.0,13.0,805.0,sale,2020-12-16 12:00:04+00:00,Santa Cruz,Balashi/Barcadera,1863.0,freehold,False,apartment,1560880.0
Boton ,0.0,0.0,0.0,sale,2020-12-16 12:00:04+00:00,Santa Cruz,Macuarima,17119.0,freehold,False,land,975449.76
Sero Blanco 349 A,5.0,8.0,434.0,sale,2020-12-16 12:00:02+00:00,Oranjestad Oost,Sero Blanco/Cumana,720.0,freehold,False,apartment,724950.0
Rumbastraat 9,0.0,0.0,550.0,sale,2020-12-16 12:00:02+00:00,Oranjestad Oost,Klip/Mon Plaisir,1206.0,leasehold,False,commercial,1091900.0
van de Veen Zeppenfeldstraat 46,0.0,0.0,341.0,sale,2020-12-16 12:00:01+00:00,San Nicolas Zuid,van de Veen Zeppenfeldstraat,392.0,freehold,False,commercial,492250.0
Spaans Lagoenweg 15,0.0,0.0,0.0,sale,2020-12-16 12:00:00+00:00,Savaneta,Pos Chikito,500.0,,False,,160899.52
Washington 41,0.0,0.0,0.0,sale,2020-12-16 12:00:00+00:00,Noord/Tanki Leendert,Washington,600.0,,False,,165927.63
Hooiberg ,0.0,0.0,0.0,sale,2020-12-16 12:00:00+00:00,Santa Cruz,Hooiberg,1054.0,freehold,False,land,211220.0
Catiri 176 A,0.0,0.0,0.0,sale,2020-12-16 11:59:59+00:00,Noord/Tanki Leendert,Tanki Leendert,700.0,,False,,553090.31
Palm Beach ,0.0,0.0,0.0,sale,2020-12-16 11:59:59+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,7348.0,leasehold,False,land,8950000.0
Noord 166,4.0,5.0,0.0,rent,2020-12-16 11:59:58+00:00,Noord/Tanki Leendert,Washington,335.0,,True,house,5370.0
Opal 74,0.0,0.0,0.0,sale,2020-12-16 11:59:57+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,932.0,freehold,False,land,492250.0
Sombre ,0.0,0.0,0.0,sale,2020-12-16 11:59:57+00:00,Santa Cruz,Urataca,0.0,,False,land,781363.64
L.G Smith Boulevard z/n,0.0,0.0,0.0,sale,2020-12-16 11:59:56+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,land,402750.0
Pavilla ,0.0,0.0,0.0,sale,2020-12-16 11:59:56+00:00,Paradera,Piedra Plat,1166.0,freehold,False,land,343680.0
San Barbola 51 F,0.0,0.0,0.0,sale,2020-12-16 11:59:54+00:00,Oranjestad Oost,Sero Blanco/Cumana,700.0,freehold,False,land,145815.19
Tamarijn ,0.0,0.0,0.0,sale,2020-12-16 11:59:54+00:00,Paradera,Ayo,2916.0,freehold,False,land,286400.0
Siribana 41 A,0.0,0.0,0.0,sale,2020-12-16 11:59:54+00:00,Santa Cruz,Cashero,980.0,freehold,False,land,241650.0
Lucianitastraat ,0.0,0.0,0.0,rent,2020-12-16 11:59:51+00:00,Oranjestad West,Paradijswijk/Santa Helena,0.0,,False,apartment,0.0
Caya Dr. J.E.M. (Loy) Arends 1,2.0,2.0,0.0,sale,2020-12-16 11:59:50+00:00,Oranjestad West,Eagle/Paardenbaai,114.0,,True,condominium,642610.0
Savaneta ,2.0,2.0,0.0,rent,2020-12-16 11:59:49+00:00,Savaneta,Jara/Sero Alejandro,0.0,,False,apartment,2685.0
Palm Beach ,1.0,1.0,0.0,rent,2020-12-16 11:59:49+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,apartment,2685.0
Calbas 13 B,1.0,1.0,0.0,rent,2020-12-16 11:59:49+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,True,apartment,1888.45
Bakval 12,0.0,0.0,0.0,rent,2020-12-16 11:59:48+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,apartment,0.0
Bucurui 43 A,2.0,3.0,0.0,sale,2020-12-16 11:59:47+00:00,Noord/Tanki Leendert,Alto Vista,109.0,,True,condominium,617550.0
Opal 1 B,1.0,2.0,0.0,rent,2020-12-16 11:59:46+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,apartment,2309.1
Caya Frere Johannes 16,1.0,1.0,0.0,rent,2020-12-16 11:59:46+00:00,Oranjestad West,Paradijswijk/Santa Helena,0.0,,False,apartment,0.0
Saliña 18 B,7.0,8.0,0.0,sale,2020-12-16 11:59:46+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,428.0,freehold,True,house,1387250.0
